time,node-i,node-j
0,58,63
0,59,64
0,63,66
0,85,190
0,85,214
0,102,115
0,191,199
0,191,214
1,58,63
1,63,66
1,85,190
1,85,214
1,102,115
1,143,192
1,188,194
1,191,199
2,58,62
2,58,63
2,59,64
2,62,63
2,62,66
2,63,66
2,85,214
2,102,115
2,143,192
2,163,172
2,184,186
2,184,196
3,36,51
3,58,62
3,58,63
3,62,63
3,62,66
3,63,66
3,85,190
3,85,191
3,85,214
3,102,115
3,154,156
3,184,186
4,17,39
4,58,63
4,63,66
4,80,87
4,85,214
4,102,115
4,154,157
4,188,194
5,13,32
5,13,41
5,20,41
5,32,41
5,35,43
5,36,50
5,80,87
5,88,90
5,102,115
5,152,168
5,157,172
5,161,164
5,162,173
5,166,168
6,13,23
6,13,27
6,13,32
6,15,20
6,15,35
6,17,27
6,17,32
6,17,41
6,20,41
6,23,32
6,24,35
6,36,50
6,58,63
6,63,66
6,76,79
6,78,83
6,80,87
6,88,90
6,102,115
6,134,188
6,134,194
6,154,172
6,154,176
6,162,173
6,188,194
7,12,30
7,12,31
7,13,16
7,13,23
7,13,32
7,13,41
7,16,18
7,16,23
7,17,27
7,17,32
7,18,30
7,18,31
7,23,41
7,27,32
7,27,41
7,30,31
7,32,41
7,36,50
7,59,64
7,76,79
7,80,87
7,85,190
7,102,115
7,134,194
7,162,173
7,184,198
8,13,16
8,13,23
8,13,43
8,14,15
8,16,18
8,16,23
8,16,35
8,17,32
8,17,41
8,18,35
8,20,43
8,23,43
8,24,31
8,32,41
8,58,62
8,59,64
8,62,63
8,62,66
8,63,66
8,85,190
8,88,90
8,102,115
8,125,155
8,134,194
8,143,171
8,143,183
8,154,176
8,161,165
8,162,173
8,166,167
8,184,186
8,184,196
8,186,196
9,13,23
9,13,32
9,13,41
9,14,35
9,14,43
9,17,32
9,23,41
9,32,41
9,36,50
9,39,43
9,58,62
9,60,64
9,62,66
9,76,79
9,78,79
9,80,87
9,85,190
9,85,214
9,88,90
9,102,115
9,125,155
9,134,194
9,148,194
9,154,176
9,162,173
9,166,167
10,13,17
10,13,23
10,14,30
10,15,20
10,15,43
10,17,32
10,17,41
10,18,24
10,20,39
10,20,43
10,30,35
10,32,41
10,58,62
10,62,66
10,78,79
10,80,234
10,85,190
10,88,90
10,102,115
10,161,165
10,166,167
10,184,186
11,13,23
11,13,41
11,14,15
11,14,30
11,17,32
11,18,24
11,20,35
11,20,43
11,23,27
11,27,41
11,30,35
11,32,41
11,36,50
11,58,62
11,59,64
11,62,66
11,74,88
11,80,87
11,85,190
11,85,214
11,88,90
11,102,115
11,161,165
11,166,167
12,13,23
12,13,41
12,17,32
12,32,41
12,34,35
12,36,51
12,78,79
12,88,90
12,102,115
12,125,155
12,161,165
12,162,173
12,166,167
12,184,186
12,191,199
12,198,208
12,199,214
13,13,16
13,13,41
13,16,30
13,17,32
13,27,41
13,32,41
13,85,190
13,85,214
13,102,115
13,134,194
13,161,165
13,162,173
13,166,167
13,186,196
13,191,214
13,196,214
14,13,16
14,13,23
14,14,16
14,14,41
14,16,23
14,18,39
14,20,35
14,59,64
14,76,79
14,77,234
14,85,190
14,102,115
14,166,167
15,9,28
15,14,30
15,36,50
15,59,72
15,102,115
15,115,146
15,125,152
15,134,188
15,134,194
15,154,176
15,166,167
15,184,186
15,188,194
16,2,21
16,2,61
16,2,71
16,16,23
16,74,78
16,82,83
16,154,176
16,166,167
16,186,203
17,4,26
17,58,62
17,58,63
17,62,63
17,62,66
17,63,66
17,80,87
17,134,194
17,154,176
17,162,173
17,166,167
17,188,194
17,190,214
18,2,12
18,4,7
18,4,29
18,58,63
18,63,66
18,70,195
18,80,87
18,82,83
18,84,193
18,154,176
18,166,167
18,185,193
19,1,19
19,5,19
19,19,70
19,23,67
19,58,62
19,58,63
19,62,63
19,62,66
19,63,66
19,63,72
19,76,79
19,85,186
19,114,160
19,125,152
19,154,176
19,166,167
19,186,214
19,198,199
20,0,21
20,1,3
20,23,67
20,82,205
20,114,160
20,125,155
20,134,194
20,154,176
20,166,167
21,58,62
21,62,63
21,62,66
21,63,66
21,74,88
21,75,236
21,76,79
21,78,228
21,80,239
21,84,185
21,84,221
21,87,239
21,88,90
21,114,160
21,134,194
21,154,176
21,166,167
21,205,228
21,234,237
21,236,241
22,0,21
22,16,23
22,16,29
22,16,30
22,16,67
22,23,67
22,58,62
22,58,63
22,62,63
22,62,66
22,63,66
22,74,88
22,74,241
22,77,238
22,80,87
22,82,83
22,82,228
22,85,225
22,88,236
22,88,241
22,134,194
22,154,176
22,166,167
22,187,217
22,190,225
22,193,219
22,219,225
22,234,237
22,236,241
23,0,21
23,16,23
23,32,41
23,58,62
23,62,66
23,76,79
23,77,238
23,82,83
23,128,158
23,134,194
23,143,192
23,154,176
23,166,167
23,196,221
24,0,21
24,23,67
24,58,62
24,58,63
24,59,72
24,62,63
24,62,66
24,63,66
24,77,238
24,82,83
24,112,240
24,114,160
24,154,176
24,166,167
24,196,221
24,221,224
25,0,21
25,23,67
25,33,50
25,82,228
25,85,191
25,96,115
25,108,115
25,115,240
25,134,188
25,154,176
25,166,167
25,188,194
25,196,221
26,0,21
26,51,53
26,51,54
26,51,189
26,53,54
26,53,189
26,82,83
26,96,108
26,96,115
26,107,110
26,134,194
26,154,176
26,166,167
26,196,221
27,0,21
27,16,67
27,51,93
27,78,230
27,82,83
27,94,101
27,94,106
27,99,103
27,101,103
27,106,146
27,108,115
27,154,176
27,166,167
27,184,185
27,196,221
28,0,21
28,33,119
28,36,44
28,59,72
28,76,79
28,78,230
28,80,87
28,82,83
28,94,104
28,96,115
28,105,231
28,125,152
28,134,194
28,154,176
28,166,167
28,196,221
28,234,237
28,236,241
29,0,21
29,37,93
29,50,119
29,50,200
29,59,72
29,76,79
29,95,112
29,99,113
29,107,240
29,111,146
29,119,200
29,128,158
29,128,202
29,134,194
29,154,176
29,166,167
29,187,217
29,188,194
29,205,228
30,0,21
30,47,54
30,47,189
30,50,119
30,50,200
30,80,87
30,80,238
30,87,239
30,95,112
30,99,113
30,111,146
30,125,155
30,154,176
30,166,167
30,234,237
31,0,21
31,47,189
31,51,200
31,76,78
31,76,79
31,95,112
31,125,152
31,134,188
31,154,176
31,166,167
31,188,194
32,0,21
32,48,93
32,134,194
32,154,176
32,166,167
32,234,237
33,0,21
33,45,53
33,48,54
33,51,200
33,58,62
33,58,63
33,62,63
33,62,66
33,63,66
33,80,87
33,107,240
33,125,152
33,134,194
33,154,176
33,166,167
33,186,191
33,186,213
33,234,237
34,0,21
34,45,53
34,51,200
34,80,87
34,93,189
34,95,112
34,96,115
34,96,240
34,134,194
34,154,176
34,166,167
35,0,21
35,37,189
35,58,63
35,63,66
35,77,238
35,80,87
35,96,115
35,128,158
35,154,176
35,166,167
36,0,21
36,9,25
36,14,15
36,37,93
36,37,189
36,58,62
36,58,63
36,62,63
36,62,66
36,63,66
36,76,229
36,80,87
36,82,83
36,91,229
36,96,146
36,105,231
36,115,146
36,125,155
36,143,192
36,154,157
36,154,172
36,161,164
36,166,167
36,234,237
37,0,21
37,37,189
37,58,62
37,62,66
37,76,82
37,82,83
37,82,228
37,91,229
37,107,240
37,125,155
37,128,158
37,134,194
37,157,172
37,161,165
37,163,172
37,165,166
38,0,21
38,37,52
38,37,189
38,51,200
38,58,62
38,62,66
38,74,90
38,75,205
38,82,83
